"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:2W6ImBlyfkWenJ3ixrxKug","Dulcet Tear","spotify:artist:3VQzUjSwZjpyKbPsoEoz73","Sir Rah","spotify:album:2Ej8dRkMcoBpmdzBqgLZbv","With The Fracture","1","3","250945","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:2AL9wzMicPIUxssJcSu9zS","Dead End","spotify:artist:3BPUQKAxccyClPyj2A4vv9","Nico Castro","spotify:album:3un3PHZcWtOSQ5qeIJYAdQ","Panal Records - Various Artists (Aniversary II)","1","7","406870","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:6umCgWLbpa65mJHG3FKXxB","Radar","spotify:artist:5KfqHG8bhfI18ZuTzZSdSM","Distinct Motive","spotify:album:1RThLHsoXamlGoFzooEZsW","Radar: EP","1","1","329142","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:3iQrcuGgqe5Pev8bPD5p8W","System","spotify:artist:3z7DwMJxTKooXHhK25DUe5","Takjacob","spotify:album:6MzSgJRgkAWUfBdjdsubKe","Say Nothing","1","3","247714","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:7rMyVYyoN21lAtY0JhdMCL","Fear","spotify:artist:1sEjFMcdtlET42rn7hJR0R","Requake","spotify:album:5G8wYAeoT7XLph3ouTXXPj","5 Years Of Duploc.com","1","4","302097","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:1BdbNjrKq2sgcz69eWwOns","Kalawanji (feat. Cessman)","spotify:artist:0KcQg2Xc2IMImvAKbpZlhO, spotify:artist:1Pa1dBkn3zaDkkAOksTFqu","Kromestar, Cessman","spotify:album:4UfW6qXNyZVuNy8WmtqdGd","Kalawanji","1","1","316826","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:7JeUQz5gPXuQfQsv6RgEHJ","Dip Dip Potato Chip","spotify:artist:3qLO1AimpDSNrkJRsEIwZ4","Gramz","spotify:album:5h1b23me3AxrVeZmCi7jDE","Dip Dip Potato Chip","1","1","248357","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:7CrJEJxN8IX52KgHYxVsP4","Ruffhouse (feat. Rod Azlan)","spotify:artist:2vnlhEYTh2K1O3NZE2ONiz, spotify:artist:5ifCekzNY9aSB2RExCeDTW","J:Kenzo, Rod Azlan","spotify:album:4RWMR22mHQEbhOfjNO7GFv","J:Kenzo","1","5","333173","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:7kYmkEoXbMRilcxILTR5p1","Know Your Enemy","spotify:artist:0KcQg2Xc2IMImvAKbpZlhO","Kromestar","spotify:album:2XXyz05d7YhB375bSERCKM","Davinchi Kode","1","2","286858","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
"spotify:track:6STxkVmeNxEjTiJmtm3daa","Grand Prix","spotify:artist:3MHtENpcR9DnnnuBf4d1vU","Repulsion","spotify:album:0b24DWLHQnFZV7616bSgPJ","Off-Switch Audio 002","1","2","336000","spotify:user:j4ryg5c3ah6g3g498kbuhtdxz","2020-07-19T17:25:01Z"
